  TT  PID   AT IO_D   WT   RT  TRT
  38    8   21    0    0    0   17 
  42    4   12    0    0    0   30 
  59    5   15    3   16    0   44 
  65    3    9    0    0    0   56 
  68    1    2   18   52    0   66 
  85    9   21    0    7    0   64 
  90   16   39    0   26   26   51 
  97   41   84    0    3    3   13 
 104   25   59    0    0    0   45 
 111   21   52    0    0    0   59 
 123   12   28    0   18    0   95 
 125   17   41   10   61    0   84 
 140   19   47    4   70    0   93 
 147   52  120    0    0    0   27 
 152    2    4   22  100    0  148 
 170   28   70    0    0    0  100 
 178   38   78    0   26   26  100 
 179   66  150    0    0    0   29 
 181   29   70    9  106    0  111 
 186   20   49    9   69    0  137 
 189   68  153    0    0    0   36 
 192   55  123    0    0    0   69 
 197   67  152    0    0    0   45 
 210   71  162    0    8    8   48 
 213   60  139    0   42    0   74 
 216   81  189    0   18    4   27 
 220   22   52    0  102   69  168 
 228   90  214    0    0    0   14 
 250   36   78    7  120    1  172 
 255   62  139    0   19   19  116 
 268   35   76    1  169    0  192 
 277   84  196    0    1    1   81 
 317   88  205    0   45   45  112 
 318   34   75    6  238   21  243 
 321   13   29    6  228    0  292 
 322   93  222    0    0    0  100 
 324    7   20   17  271    0  304 
 327   95  226    0    0    0  101 
 328   33   75   14  223    0  253 
 330   40   83    1  237    0  247 
 332    6   20    3  211    0  312 
 333   10   25    1  229    0  308 
 336   32   72   10  235    0  264 
 337  107  258    0    0    0   79 
 337   76  174    0  141    1  163 
 359  119  283    0    0    0   76 
 363   48  105    5  237    0  258 
 366   77  179    0  154   38  187 
 373   24   57    4  304    1  316 
 384  121  288    0   13   13   96 
 390  133  327    0    5    5   63 
 403  127  307    0   64   64   96 
 415  158  399    0    0    0   16 
 415   18   42    8  275    0  373 
 416  152  381    0    9    9   35 
 419   70  160    0  230  100  259 
 431  130  316    0   15   15  115 
 456   27   68    1  328    0  388 
 475  151  378    0   41   41   97 
 486  154  385    0    6    6  101 
 495   31   71    6  322    2  424 
 498   44   89    1  381    9  409 
 506  172  436    0    0    0   70 
 511   23   54    7  441    9  457 
 514   49  110   17  382    0  404 
 518  164  417    0   16   16  101 
 521  144  354    0  156   92  167 
 522  174  445    0    0    0   77 
 534  165  421    0   54   54  113 
 542  178  452    0    4    4   90 
 548  187  476    0   58   58   72 
 552  210  528    0    3    3   24 
